year,issue_date,week,song,artist
1991,1991-02-23,1991-02-23,All the Man That I Need,Whitney Houston
1991,1991-03-09,1991-03-09,Someday,Mariah Carey
1991,1991-03-23,1991-03-23,One More Try,Timmy T
1991,1991-03-30,1991-03-30,Coming Out of the Dark,Gloria Estefan
1991,1991-04-13,1991-04-13,I've Been Thinking About You,Londonbeat
1991,1991-04-20,1991-04-20,You're in Love,Wilson Phillips
1991,1991-04-27,1991-04-27,Baby Baby,Amy Grant
1991,1991-05-11,1991-05-11,Joyride,Roxette
1991,1991-05-18,1991-05-18,I Like the Way (The Kissing Game),Hi-Five
1991,1991-05-25,1991-05-25,I Don't Wanna Cry,Mariah Carey
1991,1991-06-08,1991-06-08,More Than Words,Extreme
1991,1991-06-15,1991-06-15,Rush Rush,Paula Abdul
1991,1991-07-20,1991-07-20,Unbelievable,EMF
1991,1991-07-27,1991-07-27,"(Everything I Do) I Do It for You ""†",Bryan Adams
1991,1991-09-14,1991-09-14,The Promise of a New Day,Paula Abdul
1991,1991-09-21,1991-09-21,I Adore Mi Amor,Color Me Badd
1991,1991-10-05,1991-10-05,Good Vibrations,Marky Mark and the Funky Bunch featuring Loleatta Holloway
1991,1991-10-12,1991-10-12,Emotions,Mariah Carey
1991,1991-11-02,1991-11-02,Romantic,Karyn White
1991,1991-11-09,1991-11-09,Cream,Prince and the New Power Generation
1991,1991-11-23,1991-11-23,When a Man Loves a Woman,Michael Bolton
1991,1991-11-30,1991-11-30,Set Adrift on Memory Bliss,P.M. Dawn
1991,1991-12-07,1991-12-07,Black or White,Michael Jackson
1992,,,,
1992,1992-01-04,1992-01-04,Black or White,Michael Jackson
1992,1992-01-25,1992-01-25,All 4 Love,Color Me Badd
1992,1992-02-01,1992-02-01,Don't Let the Sun Go Down on Me,George Michael and Elton John
1992,1992-02-08,1992-02-08,I'm Too Sexy,Right Said Fred
1992,1992-02-29,1992-02-29,To Be with You,Mr. Big
1992,1992-03-21,1992-03-21,Save the Best for Last,Vanessa Williams
1992,1992-04-25,1992-04-25,Jump,Kris Kross
1992,1992-06-20,1992-06-20,I'll Be There,Mariah Carey
1992,1992-07-04,1992-07-04,Baby Got Back,Sir Mix-a-Lot
1992,1992-08-08,1992-08-08,This Used to Be My Playground,Madonna
1992,1992-08-15,1992-08-15,End of the Road,Boyz II Men
1992,1992-11-14,1992-11-14,How Do You Talk to an Angel,The Heights
1992,1992-11-28,1992-11-28,I Will Always Love You,Whitney Houston
1993,,,,
1993,1993-01-02,1993-01-02,I Will Always Love You,Whitney Houston
1993,1993-03-06,1993-03-06,A Whole New World,Peabo Bryson and Regina Belle
1993,1993-03-13,1993-03-13,Informer,Snow
1993,1993-05-01,1993-05-01,Freak Me,Silk
1993,1993-05-15,1993-05-15,That's the Way Love Goes,Janet Jackson
1993,1993-07-10,1993-07-10,Weak,SWV
1993,1993-07-24,1993-07-24,Can't Help Falling in Love,UB40
1993,1993-09-11,1993-09-11,Dreamlover,Mariah Carey
1993,1993-11-06,1993-11-06,I'd Do Anything for Love (But I Won't Do That),Meat Loaf
1993,1993-12-11,1993-12-11,Again,Janet Jackson
1993,1993-12-25,1993-12-25,Hero,Mariah Carey
1994,,,,
1994,1994-01-01,1994-01-01,Hero,Mariah Carey
1994,1994-01-22,1994-01-22,All for Love,Bryan Adams / Rod Stewart / Sting
1994,1994-02-12,1994-02-12,The Power of Love,Céline Dion
1994,1994-03-12,1994-03-12,The Sign,Ace of Base
1994,1994-04-09,1994-04-09,Bump n' Grind,R. Kelly
1994,1994-05-07,1994-05-07,The Sign,Ace of Base
1994,1994-05-21,1994-05-21,I Swear,All-4-One
1994,1994-08-06,1994-08-06,Stay (I Missed You),Lisa Loeb & Nine Stories
1994,1994-08-27,1994-08-27,I'll Make Love to You,Boyz II Men
1994,1994-12-03,1994-12-03,On Bended Knee,[ 49 ]
1994,1994-12-17,1994-12-17,Here Comes the Hotstepper,Ini Kamoze
1994,1994-12-31,1994-12-31,On Bended Knee,Boyz II Men
1995,,,,
1995,1995-01-07,1995-01-07,On Bended Knee,Boyz II Men
1995,1995-01-28,1995-01-28,Creep,TLC
1995,1995-02-25,1995-02-25,Take a Bow,Madonna
1995,1995-04-15,1995-04-15,This Is How We Do It,Montell Jordan
1995,1995-06-03,1995-06-03,Have You Ever Really Loved a Woman?,Bryan Adams
1995,1995-07-08,1995-07-08,Waterfalls,TLC
1995,1995-08-26,1995-08-26,Kiss from a Rose,Seal
1995,1995-09-02,1995-09-02,You Are Not Alone,Michael Jackson
1995,1995-09-09,1995-09-09,Gangsta's Paradise,Coolio featuring L.V.
1995,1995-09-30,1995-09-30,Fantasy,Mariah Carey
1995,1995-11-25,1995-11-25,Exhale (Shoop Shoop),Whitney Houston
1995,1995-12-02,1995-12-02,One Sweet Day,Mariah Carey and Boyz II Men
1996,,,,
1996,1996-01-06,1996-01-06,One Sweet Day,Mariah Carey and Boyz II Men
1996,1996-03-23,1996-03-23,Because You Loved Me,Céline Dion
1996,1996-05-04,1996-05-04,Always Be My Baby,Mariah Carey
1996,1996-05-18,1996-05-18,Tha Crossroads,Bone Thugs-n-Harmony
1996,1996-07-13,1996-07-13,"How Do U Want It "" / "" California Love",2Pac featuring K-Ci & JoJo / featuring Dr. Dre and Roger Troutman
1996,1996-07-27,1996-07-27,"You're Makin' Me High "" / "" Let It Flow",Toni Braxton
1996,1996-08-03,1996-08-03,"Macarena"" (Bayside Boys Mix)",Los del Río
1996,1996-11-09,1996-11-09,No Diggity,Blackstreet featuring Dr. Dre
1996,1996-12-07,1996-12-07,Un-Break My Heart,Toni Braxton
1997,,,,
1997,1997-01-04,1997-01-04,Un-Break My Heart,Toni Braxton
1997,1997-02-22,1997-02-22,Wannabe,Spice Girls
1997,1997-03-22,1997-03-22,Can't Nobody Hold Me Down,Puff Daddy featuring Mase
1997,1997-05-03,1997-05-03,Hypnotize,The Notorious B.I.G.
1997,1997-05-24,1997-05-24,MMMBop,Hanson
1997,1997-06-14,1997-06-14,I'll Be Missing You,Puff Daddy and Faith Evans featuring 112
1997,1997-08-30,1997-08-30,Mo Money Mo Problems,The Notorious B.I.G. featuring Puff Daddy and Mase
1997,1997-09-13,1997-09-13,Honey,Mariah Carey
1997,1997-10-04,1997-10-04,4 Seasons of Loneliness,Boyz II Men
1997,1997-10-11,1997-10-11,"Candle in the Wind 1997 "" / "" Something About the Way You Look Tonight ""†",Elton John
1998,,,,
1998,1998-01-03,1998-01-03,"Candle in the Wind 1997 "" / "" Something About the Way You Look Tonight",Elton John
1998,1998-01-17,1998-01-17,Truly Madly Deeply,Savage Garden
1998,1998-01-31,1998-01-31,Together Again,Janet
1998,1998-02-14,1998-02-14,Nice & Slow,Usher
1998,1998-02-28,1998-02-28,My Heart Will Go On,Céline Dion
1998,1998-03-14,1998-03-14,Gettin' Jiggy wit It,Will Smith
1998,1998-04-04,1998-04-04,All My Life,K-Ci & JoJo
1998,1998-04-25,1998-04-25,Too Close,Next
1998,1998-05-23,1998-05-23,My All,Mariah Carey
1998,1998-05-30,1998-05-30,Too Close,Next
1998,1998-06-06,1998-06-06,The Boy Is Mine,Brandy and Monica
1998,1998-09-05,1998-09-05,I Don't Want to Miss a Thing,Aerosmith
1998,1998-10-03,1998-10-03,The First Night,Monica
1998,1998-10-17,1998-10-17,One Week,Barenaked Ladies
1998,1998-10-24,1998-10-24,The First Night,Monica
1998,1998-11-14,1998-11-14,Doo Wop (That Thing),Lauryn Hill
1998,1998-11-28,1998-11-28,Lately,Divine
1998,1998-12-05,1998-12-05,I'm Your Angel,R. Kelly and Céline Dion
1999,,,,
1999,1999-01-02,1999-01-02,I'm Your Angel,R. Kelly and Céline Dion
1999,1999-01-16,1999-01-16,Have You Ever?,Brandy
1999,1999-01-30,1999-01-30,...Baby One More Time,Britney Spears
1999,1999-02-13,1999-02-13,Angel of Mine,Monica
1999,1999-03-13,1999-03-13,"Believe ""†",Cher
1999,1999-04-10,1999-04-10,No Scrubs,TLC
1999,1999-05-08,1999-05-08,Livin' la Vida Loca,Ricky Martin
1999,1999-06-12,1999-06-12,If You Had My Love,Jennifer Lopez
1999,1999-07-17,1999-07-17,"Bills, Bills, Bills",Destiny's Child
1999,1999-07-24,1999-07-24,Wild Wild West,Will Smith featuring Dru Hill and Kool Moe Dee
1999,1999-07-31,1999-07-31,Genie in a Bottle,Christina Aguilera
1999,1999-09-04,1999-09-04,Bailamos,Enrique Iglesias
1999,1999-09-18,1999-09-18,Unpretty,TLC
1999,1999-10-09,1999-10-09,Heartbreaker,Mariah Carey featuring Jay-Z
1999,1999-10-23,1999-10-23,Smooth,Santana featuring Rob Thomas
2000,,,,
2000,2000-01-01,2000-01-01,Smooth,Santana featuring Rob Thomas
2000,2000-01-15,2000-01-15,What a Girl Wants,Christina Aguilera
2000,2000-01-29,2000-01-29,I Knew I Loved You,Savage Garden
2000,2000-02-19,2000-02-19,Thank God I Found You,Mariah Carey featuring Joe and 98 Degrees
2000,2000-02-26,2000-02-26,I Knew I Loved You,Savage Garden
2000,2000-03-04,2000-03-04,Amazed,Lonestar
2000,2000-03-18,2000-03-18,Say My Name,Destiny's Child
2000,2000-04-08,2000-04-08,Maria Maria,Santana featuring The Product G&B
2000,2000-06-17,2000-06-17,Try Again,Aaliyah
2000,2000-06-24,2000-06-24,Be with You,Enrique Iglesias
2000,2000-07-15,2000-07-15,Everything You Want,Vertical Horizon
2000,2000-07-22,2000-07-22,Bent,Matchbox Twenty
2000,2000-07-29,2000-07-29,It's Gonna Be Me,NSYNC
2000,2000-08-12,2000-08-12,Incomplete,Sisqó
2000,2000-08-26,2000-08-26,Doesn't Really Matter,Janet
2000,2000-09-16,2000-09-16,Music,Madonna
2000,2000-10-14,2000-10-14,Come On Over Baby (All I Want Is You),Christina Aguilera
2000,2000-11-11,2000-11-11,With Arms Wide Open,Creed
2000,2000-11-18,2000-11-18,Independent Women,Destiny's Child
2001,,,,
2001,2001-01-06,2001-01-06,Independent Women,Destiny's Child
2001,2001-02-03,2001-02-03,It Wasn't Me,"Shaggy featuring Ricardo ""RikRok"" Ducent"
2001,2001-02-17,2001-02-17,Ms. Jackson,OutKast
2001,2001-02-24,2001-02-24,Stutter,Joe featuring Mystikal
2001,2001-03-24,2001-03-24,Butterfly,Crazy Town
2001,2001-03-31,2001-03-31,Angel,Shaggy featuring Rayvon
2001,2001-04-07,2001-04-07,Butterfly,Crazy Town
2001,2001-04-14,2001-04-14,All for You,Janet Jackson
2001,2001-06-02,2001-06-02,Lady Marmalade,"Christina Aguilera , Lil' Kim , Mýa and Pink"
2001,2001-07-07,2001-07-07,U Remind Me,Usher
2001,2001-08-04,2001-08-04,Bootylicious,Destiny's Child
2001,2001-08-18,2001-08-18,Fallin,Alicia Keys
2001,2001-09-08,2001-09-08,I'm Real (Murder Remix),Jennifer Lopez featuring Ja Rule
2001,2001-09-29,2001-09-29,Fallin,Alicia Keys
2001,2001-10-20,2001-10-20,I'm Real (Murder Remix),Jennifer Lopez featuring Ja Rule
2001,2001-11-03,2001-11-03,Family Affair,Mary J. Blige
2001,2001-12-15,2001-12-15,U Got It Bad,Usher
2001,2001-12-22,2001-12-22,How You Remind Me,Nickelback
2002,,,,
2002,2002-01-05,2002-01-05,"How You Remind Me "" †",Nickelback
2002,2002-01-19,2002-01-19,U Got It Bad,Usher
2002,2002-02-23,2002-02-23,Always on Time,Ja Rule featuring Ashanti
2002,2002-03-09,2002-03-09,Ain't It Funny (Murder Remix),Jennifer Lopez featuring Ja Rule
2002,2002-04-20,2002-04-20,Foolish,Ashanti
2002,2002-06-29,2002-06-29,Hot in Herre,Nelly
2002,2002-08-17,2002-08-17,Dilemma,Nelly featuring Kelly Rowland
2002,2002-10-05,2002-10-05,A Moment Like This,Kelly Clarkson
2002,2002-10-19,2002-10-19,Dilemma,Nelly featuring Kelly Rowland
2002,2002-11-09,2002-11-09,Lose Yourself,Eminem
2003,,,,
2003,2003-01-04,2003-01-04,Lose Yourself,Eminem
2003,2003-02-01,2003-02-01,"Bump, Bump, Bump",B2K featuring P. Diddy
2003,2003-02-08,2003-02-08,All I Have,Jennifer Lopez featuring LL Cool J
2003,2003-03-08,2003-03-08,"In da Club "" †",50 Cent
2003,2003-05-10,2003-05-10,Get Busy,Sean Paul
2003,2003-05-31,2003-05-31,21 Questions,50 Cent featuring Nate Dogg
2003,2003-06-28,2003-06-28,This Is the Night,Clay Aiken
2003,2003-07-12,2003-07-12,Crazy in Love,Beyoncé featuring Jay-Z
2003,2003-09-06,2003-09-06,Shake Ya Tailfeather,"Nelly , P. Diddy and Murphy Lee"
2003,2003-10-04,2003-10-04,Baby Boy,Beyoncé featuring Sean Paul
2003,2003-12-06,2003-12-06,Stand Up,Ludacris featuring Shawnna
2003,2003-12-13,2003-12-13,Hey Ya!,OutKast
2004,,,,
2004,2004-01-03,2004-01-03,Hey Ya!,OutKast
2004,2004-02-14,2004-02-14,The Way You Move,OutKast featuring Sleepy Brown
2004,2004-02-21,2004-02-21,Slow Jamz,Twista featuring Kanye West and Jamie Foxx
2004,2004-02-28,2004-02-28,"Yeah! "" †",Usher featuring Lil Jon and Ludacris
2004,2004-05-22,2004-05-22,Burn,Usher
2004,2004-07-10,2004-07-10,I Believe,Fantasia
2004,2004-07-17,2004-07-17,Burn,Usher
2004,2004-07-24,2004-07-24,Confessions Part II,[ 68 ] [ 69 ]
2004,2004-08-07,2004-08-07,Slow Motion,Juvenile featuring Soulja Slim
2004,2004-08-21,2004-08-21,Lean Back,Terror Squad
2004,2004-09-11,2004-09-11,Goodies,Ciara featuring Petey Pablo
2004,2004-10-30,2004-10-30,My Boo,Usher and Alicia Keys
2004,2004-12-11,2004-12-11,Drop It Like It's Hot,Snoop Dogg featuring Pharrell
2005,,,,
2005,2005-01-01,2005-01-01,Let Me Love You,Mario
2005,2005-03-05,2005-03-05,Candy Shop,50 Cent featuring Olivia
2005,2005-05-07,2005-05-07,Hollaback Girl,Gwen Stefani
2005,2005-06-04,2005-06-04,"We Belong Together ""†",Mariah Carey
2005,2005-07-02,2005-07-02,Inside Your Heaven,Carrie Underwood
2005,2005-07-09,2005-07-09,"We Belong Together""†",Mariah Carey
2005,2005-09-17,2005-09-17,Gold Digger,Kanye West featuring Jamie Foxx
2005,2005-11-26,2005-11-26,Run It!,Chris Brown
2005,2005-12-31,2005-12-31,Don't Forget About Us,Mariah Carey
2006,,,,
2006,2006-01-07,2006-01-07,Don't Forget About Us,Mariah Carey
2006,2006-01-14,2006-01-14,Laffy Taffy,D4L
2006,2006-01-21,2006-01-21,Grillz,"Nelly featuring Paul Wall , Ali & Gipp"
2006,2006-02-04,2006-02-04,Check on It,Beyoncé featuring Slim Thug
2006,2006-03-11,2006-03-11,You're Beautiful,James Blunt
2006,2006-03-18,2006-03-18,So Sick,Ne-Yo
2006,2006-04-01,2006-04-01,Temperature,Sean Paul
2006,2006-04-08,2006-04-08,"Bad Day ""†",Daniel Powter
2006,2006-05-13,2006-05-13,SOS,Rihanna
2006,2006-06-03,2006-06-03,Ridin,Chamillionaire featuring Krayzie Bone
2006,2006-06-17,2006-06-17,Hips Don't Lie,Shakira featuring Wyclef Jean
2006,2006-07-01,2006-07-01,Do I Make You Proud,Taylor Hicks
2006,2006-07-08,2006-07-08,Promiscuous,Nelly Furtado featuring Timbaland
2006,2006-08-19,2006-08-19,London Bridge,Fergie
2006,2006-09-09,2006-09-09,SexyBack,Justin Timberlake
2006,2006-10-28,2006-10-28,Money Maker,Ludacris featuring Pharrell
2006,2006-11-11,2006-11-11,My Love,Justin Timberlake featuring T.I.
2006,2006-12-02,2006-12-02,I Wanna Love You,Akon featuring Snoop Dogg
2006,2006-12-16,2006-12-16,Irreplaceable,Beyoncé
2007,,,,
2007,2007-01-06,2007-01-06,"Irreplaceable ""†",Beyoncé
2007,2007-02-24,2007-02-24,Say It Right,Nelly Furtado
2007,2007-03-03,2007-03-03,What Goes Around...Comes Around,Justin Timberlake
2007,2007-03-10,2007-03-10,This Is Why I'm Hot,Mims
2007,2007-03-24,2007-03-24,Glamorous,Fergie featuring Ludacris
2007,2007-04-07,2007-04-07,Don't Matter,Akon
2007,2007-04-21,2007-04-21,Give It to Me,Timbaland featuring Nelly Furtado and Justin Timberlake
2007,2007-05-05,2007-05-05,Girlfriend,Avril Lavigne
2007,2007-05-12,2007-05-12,Makes Me Wonder,Maroon 5
2007,2007-05-26,2007-05-26,Buy U a Drank (Shawty Snappin'),T-Pain featuring Yung Joc
2007,2007-06-02,2007-06-02,Makes Me Wonder,Maroon 5
2007,2007-06-09,2007-06-09,Umbrella,Rihanna featuring Jay-Z
2007,2007-07-28,2007-07-28,Hey There Delilah,Plain White T's
2007,2007-08-11,2007-08-11,Beautiful Girls,Sean Kingston
2007,2007-09-08,2007-09-08,Big Girls Don't Cry,Fergie
2007,2007-09-15,2007-09-15,Crank That (Soulja Boy),Soulja Boy Tell 'Em
2007,2007-09-29,2007-09-29,Stronger,Kanye West
2007,2007-10-06,2007-10-06,Crank That (Soulja Boy),Soulja Boy Tell 'Em
2007,2007-11-10,2007-11-10,Kiss Kiss,Chris Brown featuring T-Pain
2007,2007-12-01,2007-12-01,No One,Alicia Keys
2008,,,,
2008,2008-01-05,2008-01-05,"Low ""†",Flo Rida featuring T-Pain
2008,2008-03-15,2008-03-15,Love in This Club,Usher featuring Young Jeezy
2008,2008-04-05,2008-04-05,Bleeding Love,Leona Lewis
2008,2008-04-12,2008-04-12,Touch My Body,Mariah Carey
2008,2008-04-26,2008-04-26,Bleeding Love,Leona Lewis
2008,2008-05-03,2008-05-03,Lollipop,Lil Wayne featuring Static Major
2008,2008-05-10,2008-05-10,Bleeding Love,Leona Lewis
2008,2008-05-24,2008-05-24,Take a Bow,Rihanna
2008,2008-05-31,2008-05-31,Lollipop,Lil Wayne featuring Static Major
2008,2008-06-28,2008-06-28,Viva la Vida,Coldplay
2008,2008-07-05,2008-07-05,I Kissed a Girl,Katy Perry
2008,2008-08-23,2008-08-23,Disturbia,Rihanna
2008,2008-09-06,2008-09-06,Whatever You Like,T.I.
2008,2008-09-27,2008-09-27,So What,Pink
2008,2008-10-04,2008-10-04,Whatever You Like,T.I.
2008,2008-10-18,2008-10-18,Live Your Life,T.I. featuring Rihanna
2008,2008-10-25,2008-10-25,Womanizer,Britney Spears
2008,2008-11-01,2008-11-01,Whatever You Like,T.I.
2008,2008-11-15,2008-11-15,Live Your Life,T.I. featuring Rihanna
2008,2008-12-13,2008-12-13,Single Ladies (Put a Ring on It),Beyoncé
2008,2008-12-20,2008-12-20,Live Your Life,T.I. featuring Rihanna
2008,2008-12-27,2008-12-27,Single Ladies (Put a Ring on It),Beyoncé
2009,,,,
2009,2009-01-03,2009-01-03,Single Ladies (Put a Ring on It),Beyoncé
2009,2009-01-17,2009-01-17,Just Dance,Lady Gaga featuring Colby O'Donis
2009,2009-02-07,2009-02-07,My Life Would Suck Without You,Kelly Clarkson
2009,2009-02-21,2009-02-21,Crack a Bottle,"Eminem , Dr. Dre and 50 Cent"
2009,2009-02-28,2009-02-28,Right Round,Flo Rida
2009,2009-04-11,2009-04-11,Poker Face,Lady Gaga
2009,2009-04-18,2009-04-18,"Boom Boom Pow ""†",The Black Eyed Peas
2009,2009-07-11,2009-07-11,I Gotta Feeling,[ 62 ] [ 63 ]
2009,2009-10-17,2009-10-17,Down,Jay Sean featuring Lil Wayne
2009,2009-10-24,2009-10-24,3,Britney Spears
2009,2009-10-31,2009-10-31,Down,Jay Sean featuring Lil Wayne
2009,2009-11-07,2009-11-07,Fireflies,Owl City
2009,2009-11-14,2009-11-14,Whatcha Say,Jason Derulo
2009,2009-11-21,2009-11-21,Fireflies,Owl City
2009,2009-11-28,2009-11-28,Empire State of Mind,Jay-Z and Alicia Keys
2010,,,,
2010,2010-01-02,2010-01-02,"Tik Tok ""†",Kesha
2010,2010-03-06,2010-03-06,Imma Be,The Black Eyed Peas
2010,2010-03-20,2010-03-20,Break Your Heart,Taio Cruz featuring Ludacris
2010,2010-03-27,2010-03-27,Rude Boy,Rihanna
2010,2010-05-01,2010-05-01,Nothin' on You,B.o.B featuring Bruno Mars
2010,2010-05-15,2010-05-15,OMG,Usher featuring will.i.am
2010,2010-05-22,2010-05-22,Not Afraid,Eminem
2010,2010-05-29,2010-05-29,OMG,Usher featuring will.i.am
2010,2010-06-19,2010-06-19,California Gurls,Katy Perry featuring Snoop Dogg
2010,2010-07-31,2010-07-31,Love the Way You Lie,Eminem featuring Rihanna
2010,2010-09-18,2010-09-18,Teenage Dream,Katy Perry
2010,2010-10-02,2010-10-02,Just the Way You Are,Bruno Mars
2010,2010-10-30,2010-10-30,Like a G6,Far East Movement featuring The Cataracs and Dev
2010,2010-11-13,2010-11-13,We R Who We R,Kesha
2010,2010-11-20,2010-11-20,What's My Name?,Rihanna featuring Drake
2010,2010-11-27,2010-11-27,Like a G6,Far East Movement featuring The Cataracs and Dev
2010,2010-12-04,2010-12-04,Only Girl (In the World),Rihanna
2010,2010-12-11,2010-12-11,Raise Your Glass,Pink
2010,2010-12-18,2010-12-18,Firework,Katy Perry
2011,,,,
2011,2011-01-01,2011-01-01,Firework,Katy Perry
2011,2011-01-08,2011-01-08,Grenade,Bruno Mars
2011,2011-01-15,2011-01-15,Firework,Katy Perry
2011,2011-01-22,2011-01-22,Grenade,Bruno Mars
2011,2011-01-29,2011-01-29,Hold It Against Me,Britney Spears
2011,2011-02-05,2011-02-05,Grenade,Bruno Mars
2011,2011-02-19,2011-02-19,Black and Yellow,Wiz Khalifa
2011,2011-02-26,2011-02-26,Born This Way,Lady Gaga
2011,2011-04-09,2011-04-09,E.T.,Katy Perry featuring Kanye West
2011,2011-04-30,2011-04-30,S&M,Rihanna featuring Britney Spears
2011,2011-05-07,2011-05-07,E.T.,Katy Perry featuring Kanye West
2011,2011-05-21,2011-05-21,"Rolling in the Deep ""†",Adele
2011,2011-07-09,2011-07-09,Give Me Everything,"Pitbull featuring Ne-Yo , Afrojack and Nayer"
2011,2011-07-16,2011-07-16,Party Rock Anthem,LMFAO featuring Lauren Bennett and GoonRock
2011,2011-08-27,2011-08-27,Last Friday Night (T.G.I.F.),Katy Perry
2011,2011-09-10,2011-09-10,Moves Like Jagger,Maroon 5 featuring Christina Aguilera
2011,2011-09-17,2011-09-17,Someone Like You,Adele
2011,2011-09-24,2011-09-24,Moves Like Jagger,Maroon 5 featuring Christina Aguilera
2011,2011-10-15,2011-10-15,Someone Like You,Adele
2011,2011-11-12,2011-11-12,We Found Love,Rihanna featuring Calvin Harris
2012,,,,
2012,2012-01-07,2012-01-07,Sexy and I Know It,LMFAO
2012,2012-01-21,2012-01-21,We Found Love,Rihanna featuring Calvin Harris
2012,2012-02-04,2012-02-04,Set Fire to the Rain,Adele
2012,2012-02-18,2012-02-18,Stronger (What Doesn't Kill You),Kelly Clarkson
2012,2012-03-03,2012-03-03,Part of Me,Katy Perry
2012,2012-03-10,2012-03-10,Stronger (What Doesn't Kill You),Kelly Clarkson
2012,2012-03-17,2012-03-17,We Are Young,Fun featuring Janelle Monáe
2012,2012-04-28,2012-04-28,"Somebody That I Used to Know ""†",Gotye featuring Kimbra
2012,2012-06-23,2012-06-23,Call Me Maybe,Carly Rae Jepsen
2012,2012-08-25,2012-08-25,Whistle,Flo Rida
2012,2012-09-01,2012-09-01,We Are Never Ever Getting Back Together,Taylor Swift
2012,2012-09-15,2012-09-15,Whistle,Flo Rida
2012,2012-09-22,2012-09-22,We Are Never Ever Getting Back Together,Taylor Swift
2012,2012-09-29,2012-09-29,One More Night,Maroon 5
2012,2012-12-01,2012-12-01,Diamonds,Rihanna
2012,2012-12-22,2012-12-22,Locked Out of Heaven,Bruno Mars
2013,,,,
2013,2013-01-05,2013-01-05,Locked Out of Heaven,Bruno Mars
2013,2013-02-02,2013-02-02,"Thrift Shop "" † [ 4 ]",Macklemore & Ryan Lewis featuring Wanz
2013,2013-03-02,2013-03-02,Harlem Shake,Baauer
2013,2013-04-06,2013-04-06,"Thrift Shop"" † [ 4 ]",Macklemore & Ryan Lewis featuring Wanz
2013,2013-04-20,2013-04-20,When I Was Your Man,Bruno Mars
2013,2013-04-27,2013-04-27,Just Give Me a Reason,Pink featuring Nate Ruess
2013,2013-05-18,2013-05-18,Can't Hold Us,Macklemore & Ryan Lewis featuring Ray Dalton
2013,2013-06-22,2013-06-22,Blurred Lines,Robin Thicke featuring T.I. and Pharrell
2013,2013-09-14,2013-09-14,Roar,Katy Perry
2013,2013-09-28,2013-09-28,Wrecking Ball,Miley Cyrus
2013,2013-10-12,2013-10-12,Royals,Lorde
2013,2013-12-14,2013-12-14,Wrecking Ball,Miley Cyrus
2013,2013-12-21,2013-12-21,The Monster,Eminem featuring Rihanna
2014,,,,
2014,2014-01-04,2014-01-04,The Monster,Eminem featuring Rihanna
2014,2014-01-18,2014-01-18,Timber,Pitbull featuring Kesha
2014,2014-02-08,2014-02-08,Dark Horse,Katy Perry featuring Juicy J
2014,2014-03-08,2014-03-08,"Happy "" † [ 1 ]",Pharrell Williams
2014,2014-05-17,2014-05-17,All of Me,John Legend
2014,2014-06-07,2014-06-07,Fancy,Iggy Azalea featuring Charli XCX
2014,2014-07-26,2014-07-26,Rude,Magic!
2014,2014-09-06,2014-09-06,Shake It Off,Taylor Swift
2014,2014-09-20,2014-09-20,All About That Bass,Meghan Trainor
2014,2014-11-15,2014-11-15,Shake It Off,Taylor Swift
2014,2014-11-29,2014-11-29,Blank Space,[ 100 ] [ 6 ]
2015,,,,
2015,2015-01-03,2015-01-03,Blank Space,Taylor Swift
2015,2015-01-17,2015-01-17,"Uptown Funk "" †",Mark Ronson featuring Bruno Mars
2015,2015-04-25,2015-04-25,See You Again,Wiz Khalifa featuring Charlie Puth
2015,2015-06-06,2015-06-06,Bad Blood,Taylor Swift featuring Kendrick Lamar
2015,2015-06-13,2015-06-13,See You Again,Wiz Khalifa featuring Charlie Puth
2015,2015-07-25,2015-07-25,Cheerleader,Omi
2015,2015-08-22,2015-08-22,Can't Feel My Face,The Weeknd
2015,2015-08-29,2015-08-29,Cheerleader,Omi
2015,2015-09-12,2015-09-12,Can't Feel My Face,The Weeknd
2015,2015-09-19,2015-09-19,What Do You Mean?,Justin Bieber
2015,2015-09-26,2015-09-26,Can't Feel My Face,The Weeknd
2015,2015-10-03,2015-10-03,The Hills,[ 81 ] [ 82 ]
2015,2015-11-14,2015-11-14,Hello,Adele
2016,,,,
2016,2016-01-02,2016-01-02,Hello,Adele
2016,2016-01-23,2016-01-23,Sorry,Justin Bieber
2016,2016-02-13,2016-02-13,"Love Yourself "" †",[ 15 ] [ 16 ]
2016,2016-02-20,2016-02-20,Pillowtalk,Zayn
2016,2016-02-27,2016-02-27,"Love Yourself"" †",Justin Bieber
2016,2016-03-05,2016-03-05,Work,Rihanna featuring Drake
2016,2016-05-07,2016-05-07,Panda,Desiigner
2016,2016-05-21,2016-05-21,One Dance,Drake featuring Wizkid and Kyla
2016,2016-05-28,2016-05-28,Can't Stop the Feeling!,Justin Timberlake
2016,2016-06-04,2016-06-04,One Dance,Drake featuring Wizkid and Kyla
2016,2016-08-06,2016-08-06,Cheap Thrills,Sia featuring Sean Paul
2016,2016-09-03,2016-09-03,Closer,The Chainsmokers featuring Halsey
2016,2016-11-26,2016-11-26,Black Beatles,Rae Sremmurd featuring Gucci Mane
2017,,,,
2017,2017-01-07,2017-01-07,Starboy,The Weeknd featuring Daft Punk
2017,2017-01-14,2017-01-14,Black Beatles,Rae Sremmurd featuring Gucci Mane
2017,2017-01-21,2017-01-21,Bad and Boujee,Migos featuring Lil Uzi Vert
2017,2017-01-28,2017-01-28,"Shape of You "" †",Ed Sheeran
2017,2017-02-04,2017-02-04,Bad and Boujee,Migos featuring Lil Uzi Vert
